MFI.Name,Fiscal.Year,Period.Type,As.of.Date,Gross.Loan.Portfolio,Cash.and.cash.equivalents,Net.loan.portfolio,Other.assets,Liabilities.and.equity,Net.fixed.assets,Assets,Average.assets
VisionFund Kenya,2013,ANN,2013-09-30 00:00:00 UTC,5878670,4025779,5741900,454953,10528356,305724,10528356,10282169
VisionFund Kenya,2016,ANN,2016-12-31 00:00:00 UTC,5921841,2554118,4143025,881230,7675642,97269,7675642,7675642
VisionFund Kenya,2017,ANN,2017-12-31 00:00:00 UTC,3589921,2331807,3217042,583052,6197717,65816,6197717,6719643
VisionFund Kenya,2018,ANN,2018-12-31 00:00:00 UTC,4283622,2071337,4139830,467997,6819179,140016,6819179,6339365
WPS,2014,ANN,2014-12-31 00:00:00 UTC,5777577,1012475,5178057,4739866,11848805,918407,11848805,12033658.5
WPS,2015,ANN,2015-12-31 00:00:00 UTC,6270551,1507432,5642562,3871523,11797973,776456,11797973,11583510
WPS,2016,ANN,2016-12-31 00:00:00 UTC,6431147,2338457,5704858,4068818,12857079,744946,12857079,12033658.5
WPS,2018,ANN,2018-12-31 00:00:00 UTC,6399418,2569357,6399418,3996776,14910616,1945065,14910616,12033658.5
Yehu,2012,ANN,2012-12-31 00:00:00 UTC,3148918,3355573,9643975,3309480,5652596,659357.5,5652596,5365491
YIKE,2012,ANN,2012-12-31 00:00:00 UTC,13650,3355573,9643975,3309480,68343,659357.5,68343,70470
